model,dataset_size_name,n_train,val_accuracy,val_f1,val_roc_auc,train_time_sec
LogisticRegression,small,800,0.8389737991266376,0.6234843650287173,0.8916547929366441,2.570164680480957
LogisticRegression,medium,6000,0.8455240174672489,0.6486654252017381,0.9029900311829304,2.1545093059539795
LogisticRegression,large,34187,0.8451146288209607,0.6418428526349006,0.9048378820164792,1.3241822719573977
LogisticRegression_Polynomial,small,800,0.8396561135371179,0.6322378716744914,0.8881208639129846,0.1254456043243408
LogisticRegression_Polynomial,medium,6000,0.8487991266375546,0.6615760537568723,0.9070645325502212,0.7784178256988525
LogisticRegression_Polynomial,large,34187,0.853438864628821,0.6645846346033729,0.9107963542319508,3.943300008773804
NeuralNet_Keras,small,800,0.8373362445414847,0.6237373737373737,0.8854077698960654,10.095713138580322
NeuralNet_Keras,medium,6000,0.8487991266375546,0.645326504481434,0.9035828394117452,14.807698011398315
NeuralNet_Keras,large,34187,0.8486626637554585,0.6405186385737439,0.9073067822234272,44.88320159912109
