model,dataset_size_name,n_train,n_features,train_time_sec,best_params,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
LogisticRegression,small,800,108,2.570164680480957,{'C': 1.0},0.8389737991266376,0.7074583635047067,0.5573302909298345,0.6234843650287173,0.8916547929366441
LogisticRegression,medium,6000,108,2.1545093059539795,{'C': 1.0},0.8455240174672489,0.7113682777399591,0.5961209355390759,0.6486654252017381,0.9029900311829304
LogisticRegression,large,34187,108,1.3241822719573975,{'C': 10.0},0.8451146288209607,0.7182203389830508,0.5801483171705647,0.6418428526349006,0.9048378820164791
LogisticRegression_Polynomial,small,800,129,0.12544560432434082,{'C': 1.0},0.8396561135371179,0.7004160887656034,0.576155162578437,0.6322378716744914,0.8881208639129846
LogisticRegression_Polynomial,medium,6000,129,0.7784178256988525,{'C': 1.0},0.8487991266375546,0.7120315581854043,0.6177980604677695,0.6615760537568723,0.9070645325502213
LogisticRegression_Polynomial,large,34187,129,3.9433000087738037,{'C': 1.0},0.853438864628821,0.7342995169082126,0.6069594980034227,0.6645846346033729,0.9107963542319507
